objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,tucson_2008.JPG,,,Tucson Studio Circa 2008,Anthony Sanchez,2008-05-22,"Photograph of Tucson Studio, Tucson, AZ",drums;guitar;studio,"Tucson, Arizona",32.25346,-110.911789,Personal Archives,studio_1_2008,Image;StillImage,image/jpg,eng,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/
coll002,glendale_2009.JPG,,,Glendale Studio Circa 2009,Anthony Sanchez,2009-04-16,"Photograph of Glendale Studio, Glendale, AZ",guitar;amplifier;synthesizer;microphone;audiointerface;studio,"Glendale, Arizona",33.548264,-112.191696,Personal Archives,studio_2_2009,Image;StillImage,image/jpg,eng,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/
coll003,phoenix_2010.JPG,,,Phoenix Studio Circa 2010,Anthony Sanchez,2010-09-20,"Photograph of Phoenix Studio, Phoenix, AZ",Synthesizer;computer;pedal;mixer,"Phoenix, Arizona",33.448376,-112.074036,Personal Archives,studio_3_2009,Image;StillImage,image/jpg,eng,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/
coll004,phoenix_2011.JPG,,,Phoenix Studio Circa 2011,Anthony Sanchez,2011-10-09,"Photograph of Phoenix Studio, Phoenix, AZ",Synthesizer;computer;outboard;controller;eurorack,"Phoenix, Arizona",33.448376,-112.074036,Personal Archives,studio_4_2011,Image;StillImage,image/jpg,eng,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/
coll005,phoenix_2012.JPG,,,Phoenix Studio Circa 2012,Anthony Sanchez,2012-02-26,"Photograph of Phoenix Studio, Phoenix, AZ",Synthesizer;pedals;outboard;drummachine;eurorack,"Phoenix, Arizona",33.448376,-112.074036,Personal Archives,studio_4_2012,Image;StillImage,image/jpg,eng,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/
coll006,phoenix_2013.JPG,,,Phoenix Studio Circa 2013,Anthony Sanchez,2013-03-18,"Photograph of Phoenix Studio, Phoenix, AZ",Synthesizer;pedals;outboard;drummachine;eurorack,"Phoenix, Arizona",33.448376,-112.074036,Personal Archives,studio_4_2013,Image;StillImage,image/jpg,eng,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/
coll007,riverside_2015.JPG,,,Riverside Studio Circa 2015,Anthony Sanchez,2015-08-10,"Photograph of Riverside Studio, Riverside, CA",Synthesizer;pedals;outboard;computer;piano;mixer;buchla;eurorack,"Riverside, California",33.95335,-117.396156,Personal Archives,studio_5_2015,Image;StillImage,image/jpg,eng,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/
coll008,recording_2020.mov,,,Tucson Studio Circa 2020,Anthony Sanchez,2020-07-25,"Recording from Tucson Studio, Tucson, AZ",synthesizer;eurorack,"Tucson, Arizona",32.25346,-110.911789,Personal Archives,studio_6_2020,movie;liverecording,movie/mov,eng,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/
coll009,recording_2021.mov,,,Tucson Studio Circa 2021,Anthony Sanchez,2021-02-14,"Recording from Tucson Studio, Tucson, AZ",synthesizer;eurorack,"Tucson, Arizona",32.25346,-110.911789,Personal Archives,studio_6_2021,movie;liverecording,movie/mov,eng,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/
coll010,,ra-HjVGGGbM,,Mutable Instruments Braids Pluk MakeNoise Rene Demo,Anthony Sanchez,2014-01-16,"Recording from Riverside Studio, Riverside, CA",synthesizer;eurorack,"Riverside, California",33.95335,-117.396156,YouTube,studio_5_2014,movie;liverecording,streamingvideo,eng,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/
coll011,carterdemo.mp3,,,CartAnthony Demo,Anthony Sanchez,2012-12-27,Audio Recording from CartAnthony Demo,guitar;amplifier;microphone;demo,"Brooklyn, New York",40.650002,-73.949997,Personal Archives,studio_7_2012,audio;finalrecording,audio/mp3,eng,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/
coll012,mathsmanual.pdf,,,Maths Illustrated Manual V.2,Anthony Sanchez,2012-07-07,Maths Illustrated Manual,,,,,Personal Archives,,text;document,text/pdf,eng,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/